Rank,Bank name,Headquarters location,"Headquarters location, City","Headquarters location, State",Total assets (billions of US$),Market capitalization (billions of US$)
33,Regions Financial Corporation,"Birmingham, Alabama",Birmingham,Alabama,$156.40 ,$17.05 
51,Western Alliance Bank,"Phoenix, Arizona",Phoenix,Arizona,$52.80 ,$7.01 
78,Arvest Bank,"Bentonville, Arkansas",Bentonville,Arkansas,$26.50 ,N/A
84,Simmons Bank,"Pine Bluff, Arkansas",Pine Bluff,Arkansas,$23.20 ,$2.79 
90,"Pacific Premier Bancorp, Inc.","Irvine, California",Irvine,California,$21 ,
64,PacWest Bancorp,"Los Angeles, California",Los Angeles,California,$35.90 ,$3.66 
93,Cathay Bank,"Los Angeles, California",Los Angeles,California,$19.86 ,$2.88 
45,East West Bank,"Pasadena, California",Pasadena,California,$60.96 ,$8.61 
4,Wells Fargo,"San Francisco, California",San Francisco,California,"$1,955 ",$197.00 
32,BNP Paribasÿ/ÿBank of the West,"San Francisco, California",San Francisco,California,$159.20 ,
20,SVB Financial Group,"Santa Clara, California",Santa Clara,California,$191 ,$26.65 
75,FirstBank Holding Co,"Lakewood, Colorado",Lakewood,Colorado,$27.40 ,N/A
43,People's United Financial,"Bridgeport, Connecticut",Bridgeport,Connecticut,$63.70 ,$6.14 
40,Synchrony Financial,"Stamford, Connecticut",Stamford,Connecticut,$91.90 ,$20.66 
65,Webster Bank,"Stamford, Connecticut",Stamford,Connecticut,$35.40 ,$4.54 
67,BankUnited,"Miami Lakes, Florida",Miami Lakes,Florida,$35.30 ,$3.32 
91,"BCI Financial Group, Inc.","Miami, Florida",Miami,Florida,$20.60 ,
44,Raymond James Financial,"St. Petersburg, Florida",St. Petersburg,Florida,$61.90 ,$13.58 
58,South State Bank,"Winter Haven, Florida",Winter Haven,Florida,$40.90 ,$4.34 
86,Ameris Bancorp,"Atlanta, Georgia",Atlanta,Georgia,$22.50 ,
49,Synovus,"Columbus, Georgia",Columbus,Georgia,$55.50 ,$5.59 
